Location Name,Address,lat,long
University of Mumbai,"Institute of Chemical Technology, P B Sule Marg, Matunga East, F/N Ward, Zone 2, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400019, India",19.02391285,72.85876655
Vardhaman College of Engineering,"vardhaman college of engineering, NH44, Shapur Tanda, Ghansimiaguda, Shamshabad mandal, Rangareddy, Telangana, 501218, India",17.2545527,78.30704
Vel Tech University,"No.42, Avadi-Vel Tech Road, Poonamallee - Avadi High Rd, Vel Nagar, Chennai, Tamil Nadu 600062, India",51.58421865,45.9571029
Velagapudi Ramakrishna Siddhartha Engineering College,"Velagapudi Ramakrishna Siddhartha Engineering College, Bandar Road, Tadigadapa, Penamaluru, Krishna, Andhra Pradesh, 520007, India",16.4852497,80.69298454
Vellore Institute Of Technology,"Vellore Institute of Technology, Small subway, Katpadi, Vellore District, Tamil Nadu, 632014, India",12.97229435,79.16075428
Vignan's University,"Guntur -Tenali Rd, Vadlamudi, Andhra Pradesh 522213, India",16.2333746,80.5487192
Vinayka Missions University,"Sankari Main Rd, Ariyanur, Tamil Nadu 636308, India",11.5969668,78.0818929
Visvesvaraya National Institute of Technology,"Visvesvaraya National Institute of Technology, VNIT Campus, Ambazari Road, Nagpur Urban Taluka, Nagpur District, Maharashtra, 440010, India",21.12608425,79.04975227
Visvesvaraya Technological University,"Visvesvaraya Technological University, NH748AA, Kinaye, Belagavi taluku, Belgaum district, Karnataka, 590014, India",15.7790287,74.4633123
VNR Vignana Jyothi Institute of Engineering and Technology,"VNR Vignana Jyothi Institute of Engineering and Technology, Hanuman Marg, Sai Nagar, Bachupally mandal, Medchal–Malkajgiri, Telangana, 500090, India",17.53899095,78.38522281
West Bengal University of Technology,"West Bengal University of Technology, 1st Avenue, BF Block, Rajarhat, North 24 Parganas, West Bengal, 700101, India",22.5964916,88.4174395
William Carey University,"William Carey University, 710, William Carey Parkway, Hattiesburg, Forrest County, Mississippi, 39401, United States",31.3037101,-89.29276214
Texas Tech University,"2500 Broadway, Lubbock, TX 79409",33.5842591,-101.8804709
