University,Location Name,Current Location,Current College,Original
Gandhi Institute of Technology and Management (N04642),Gandhi Institute of Technology and Management,Texas Tech University,Engineering - Computer Science,India
Gandhi Institute of Technology and Management (N04642),Gandhi Institute of Technology and Management,Texas Tech University,Engineering - Computer Science,India
Gandhi Institute of Technology and Management (N04642),Gandhi Institute of Technology and Management,Texas Tech University,Engineering - Other,India
Gandhi Institute of Technology and Management (N04642),Gandhi Institute of Technology and Management,Texas Tech University,Engineering - Other,India
Gandhi Institute of Technology and Management (N04642),Gandhi Institute of Technology and Management,Texas Tech University,Engineering - Computer Science,India
Gandhi Institute of Technology and Management (N04642),Gandhi Institute of Technology and Management,Texas Tech University,Engineering - Computer Science,India
Gandhi Institute of Technology and Management (N04642),Gandhi Institute of Technology and Management,Texas Tech University,Engineering - Computer Science,India
GITAM,GITAM University,Texas Tech University,Computer Science & Engineering,India
GITAM University,GITAM University,Texas Tech University,Computer Science & Engineering,India
GITAM University,GITAM University,Texas Tech University,Computer Science & Engineering,India
GITAM University,GITAM University,Texas Tech University,Computer Science & Engineering,India
GITAM University (N03668),GITAM University,Texas Tech University,Engineering - Mechanical,India
GITAM University (N03668),GITAM University,Texas Tech University,Engineering - Computer Science,India
GITAM University (N03668),GITAM University,Texas Tech University,Engineering - Computer Science,India
GITAM University (N03668),GITAM University,Texas Tech University,Engineering - Computer Science,India
GITAM University (N03668),GITAM University,Texas Tech University,Engineering - Other,India
Gokaraju Rangaraju Institute of Engineering and Technology (N05285),Gokaraju Rangaraju Institute of Engineering and Technology,Texas Tech University,Engineering - Other,India
Gokaraju Rangaraju Institute of Engineering and Technology (N05285),Gokaraju Rangaraju Institute of Engineering and Technology,Texas Tech University,Engineering - Computer Science,India
Gokaraju Rangaraju Institute of Engineering and Technology (N05285),Gokaraju Rangaraju Institute of Engineering and Technology,Texas Tech University,Engineering - Other,India
Gokaraju Rangaraju Institute of Engineering and Technology (N05285),Gokaraju Rangaraju Institute of Engineering and Technology,Texas Tech University,Engineering - Computer Science,India
Gokaraju Rangaraju Institute of Engineering and Technology (N05285),Gokaraju Rangaraju Institute of Engineering and Technology,Texas Tech University,Engineering - Computer Science,India
Hindustan Institute of Technology and Science,Hindustan Institute of Technology and Science,Texas Tech University,Computer Science & Engineering,India
Hindustan Institute of Technology and Science,Hindustan Institute of Technology and Science,Texas Tech University,Computer Science & Engineering,India
Hindustan Institute of Technology and Science (N05273),Hindustan Institute of Technology and Science,Texas Tech University,Engineering - Computer Science,India
Hindustan University (N04094),Hindustan University,Texas Tech University,Engineering - Computer Science,India
"Indian Institute of Information Technology, Design & Manufacturing","Indian Institute of Information Technology, Design & Manufacturing",Texas Tech University,Computer Engineering,India
Indian Institute of Technology - Madras (),Indian Institute of Technology - Madras,Texas Tech University,Engineering - Chemical,India
Indian Institute Of Technology (000035),Indian Institute of Technology - Madras,Texas Tech University,Engineering - Other,India
International Institute of Information Technology - Savitribai Phule Pune University,International Institute of Information Technology - Savitribai Phule Pune University,Texas Tech University,Computer Engineering,India
Jain University,Jain University,Texas Tech University,Electronics & Communication Engineering,India
Jain University (N04223),Jain University,Texas Tech University,Engineering - Computer Science,India
Jawaharlal Nehru Technological University,Jawaharlal Nehru Technological University,Texas Tech University,Computer Science & Engineering,India
Jawaharlal Nehru Technological University,Jawaharlal Nehru Technological University,Texas Tech University,Computer Science & Engineering,India
Jawaharlal Nehru Technological University,Jawaharlal Nehru Technological University,Texas Tech University,Electronics & Communication Engineering,India
Jawaharlal Nehru Technological University,Jawaharlal Nehru Technological University,Texas Tech University,Electronics & Communication Engineering,India
Jawaharlal Nehru Technological University,Jawaharlal Nehru Technological University,Texas Tech University,Computer Science & Engineering,India
Jawaharlal Nehru Technological University,Jawaharlal Nehru Technological University,Texas Tech University,Computer Science & Engineering,India
Jawaharlal Nehru Technological University,Jawaharlal Nehru Technological University,Texas Tech University,Electronics & Communication Engineering,India
Jawaharlal Nehru Technological University,Jawaharlal Nehru Technological University,Texas Tech University,Computer Science & Engineering,India
Jawaharlal Nehru Technological University,Jawaharlal Nehru Technological University,Texas Tech University,Computer Science & Engineering,India
Jawaharlal Nehru Technological University,Jawaharlal Nehru Technological University,Texas Tech University,Computer Science & Engineering,India
Jawaharlal Nehru Technological University,Jawaharlal Nehru Technological University,Texas Tech University,Computer Science & Engineering,India
Jawaharlal Nehru Technological University,Jawaharlal Nehru Technological University,Texas Tech University,Computer Science & Engineering,India
Jawaharlal Nehru Technological University,Jawaharlal Nehru Technological University,Texas Tech University,Computer Science & Engineering,India
Jawaharlal Nehru Technological University,Jawaharlal Nehru Technological University,Texas Tech University,Information Technology,India
Jawaharlal Nehru Technological University,Jawaharlal Nehru Technological University,Texas Tech University,Electronics & Communication Engineering,India
