University,Location Name,Current Location,Current College,Original
Sreenidhi Institute of Science and Technology (N04767),Sreenidhi Institute of Science and Technology,Texas Tech University,Engineering - Other,India
Sreenidhi Institute of Science and Technology (N04767),Sreenidhi Institute of Science and Technology,Texas Tech University,Engineering - Computer Science,India
Sreenidhi Institute of Science and Technology (N04767),Sreenidhi Institute of Science and Technology,Texas Tech University,Engineering - Other,India
Sreenidhi Institute of Science and Technology (N04767),Sreenidhi Institute of Science and Technology,Texas Tech University,Other Subject,India
Sreenidhi Institute of Science and Technology (N04767),Sreenidhi Institute of Science and Technology,Texas Tech University,Engineering - Electrical and Electronics,India
Sri Venkateswara University,Sri Venkateswara University,Texas Tech University,Electrical & Electronics Engineering,India
Sri Venkateswara University,Sri Venkateswara University,Texas Tech University,Electronics & Communication Engineering,India
Sri Venkateswara University (N02047),Sri Venkateswara University,Texas Tech University,Engineering - Other,India
SRM University,SRM University,Texas Tech University,Electronics & Communication Engineering,India
SRM University (N02049),SRM University,Texas Tech University,Engineering - Other,India
SRM University (N02049),SRM University,Texas Tech University,Engineering - Computer Science,India
SRM University (N02049),SRM University,Texas Tech University,Engineering - Other,India
SRM University (N02049),SRM University,Texas Tech University,Engineering - Computer Science,India
SRM University AP,SRM University AP,Texas Tech University,Electronics & Communication Engineering,India
SRM University AP,SRM University AP,Texas Tech University,Electronics & Communication Engineering,India
Stella Maris College,Stella Maris College,Texas Tech University,Computer Applications,India
Telangana University (N04080),Telangana University,Texas Tech University,Other Subject,India
University of Mumbai - Pillai College of Engineering ,University of Mumbai,Texas Tech University,Computer Engineering,India
University of Mumbai - St. John College of Engineering & Management,University of Mumbai,Texas Tech University,Computer Engineering,India
University of Mumbai - St. John College of Engineering & Management,University of Mumbai,Texas Tech University,Computer Engineering,India
University of Mumbai (N02437),University of Mumbai,Texas Tech University,Engineering - Other,India
Vardhaman College of Engineering,Vardhaman College of Engineering,Texas Tech University,Computer Science & Engineering,India
Vardhaman College of Engineering,Vardhaman College of Engineering,Texas Tech University,Computer Science & Engineering,India
Vardhaman College of Engineering ,Vardhaman College of Engineering,Texas Tech University,Computer Science & Engineering,India
Vardhaman College of Engineering (N05276),Vardhaman College of Engineering,Texas Tech University,Engineering - Computer Science,India
Vardhaman College of Engineering (N05276),Vardhaman College of Engineering,Texas Tech University,Engineering - Computer Science,India
Vardhaman College of Engineering (N05276),Vardhaman College of Engineering,Texas Tech University,Engineering - Computer Science,India
Vardhaman College of Engineering (N05276),Vardhaman College of Engineering,Texas Tech University,Engineering - Computer Science,India
Vardhaman College of Engineering (N05276),Vardhaman College of Engineering,Texas Tech University,Engineering - Computer Science,India
Vel Tech University,Vel Tech University,Texas Tech University,Electronics & Communication Engineering,India
Velagapudi Ramakrishna Siddhartha Engineering College,Velagapudi Ramakrishna Siddhartha Engineering College,Texas Tech University,Electronics & Communication Engineering,India
Vellore Institute Of Technology,Vellore Institute Of Technology,Texas Tech University,Computer Science & Engineering,India
Vellore Institute Of Technology,Vellore Institute Of Technology,Texas Tech University,Electronics & Communication Engineering,India
Vellore Institute Of Technology,Vellore Institute Of Technology,Texas Tech University,Electronics & Communication Engineering,India
Vellore Institute Of Technology,Vellore Institute Of Technology,Texas Tech University,Electronics & Communication Engineering,India
Vellore Institute Of Technology,Vellore Institute Of Technology,Texas Tech University,Electronics & Communication Engineering,India
Vellore Institute Of Technology,Vellore Institute Of Technology,Texas Tech University,Electronics & Communication Engineering,India
Vellore Institute Of Technology,Vellore Institute Of Technology,Texas Tech University,Electrical & Electronics Engineering,India
Vellore Institute Of Technology,Vellore Institute Of Technology,Texas Tech University,Electronics & Communication Engineering,India
Vellore Institute Of Technology - SRM Institute of Science & Technology,Vellore Institute Of Technology,Texas Tech University,Computer Science & Engineering,India
Vellore Institute Of Technology (N02773),Vellore Institute Of Technology,Texas Tech University,Other Subject,India
Vellore Institute Of Technology (N02773),Vellore Institute Of Technology,Texas Tech University,Engineering - Computer Science,India
Vellore Institute Of Technology (N02773),Vellore Institute Of Technology,Texas Tech University,Engineering - Electrical and Electronics,India
Vellore Institute Of Technology (N02773),Vellore Institute Of Technology,Texas Tech University,Other Subject,India
Vellore Institute Of Technology (N02773),Vellore Institute Of Technology,Texas Tech University,Other Subject,India
Vignan's University,Vignan's University,Texas Tech University,Electronics & Communication Engineering,India
Vignans University,Vignan's University,Texas Tech University,Computer Science & Engineering,India
Vignans University,Vignan's University,Texas Tech University,Electronics & Communication Engineering,India
Vignans University,Vignan's University,Texas Tech University,Electronics & Communication Engineering,India
Vignans University,Vignan's University,Texas Tech University,Information Technology,India
Vignans University,Vignan's University,Texas Tech University,Computer Science & Engineering,India
Vignans University,Vignan's University,Texas Tech University,Information Technology,India
Vignans University ,Vignan's University,Texas Tech University,Computer Science & Engineering,India
Vignans University (N02782),Vignan's University,Texas Tech University,Engineering - Other,India
Vignans University (N02782),Vignan's University,Texas Tech University,Engineering - Computer Science,India
Vignans University (N02782),Vignan's University,Texas Tech University,Other Subject,India
Vinayka Missions University (N03435),Vinayka Missions University,Texas Tech University,Other Subject,India
Visvesvaraya National Institute of Technology,Visvesvaraya National Institute of Technology,Texas Tech University,Electronics & Communication Engineering,India
Visvesvaraya Technological University,Visvesvaraya Technological University,Texas Tech University,Information Science & Engineering,India
Visvesvaraya Technological University,Visvesvaraya Technological University,Texas Tech University,Computer Science & Engineering,India
Visvesvaraya Technological University - New Horizon College of Engineering,Visvesvaraya Technological University,Texas Tech University,Information Science & Engineering,India
Visvesvaraya Technological University - Poojya Doddappa Appa College of Engineering,Visvesvaraya Technological University,Texas Tech University,Computer Science & Engineering,India
Visvesvaraya Technological University (N02795),Visvesvaraya Technological University,Texas Tech University,Engineering - Computer Science,India
VNR Vignana Jyothi Institute of Engineering and Technology (N04776),VNR Vignana Jyothi Institute of Engineering and Technology,Texas Tech University,Engineering - Other,India
West Bengal University of Technology (N02823),West Bengal University of Technology,Texas Tech University,Engineering - Computer Science,India
William Carey University,William Carey University,Texas Tech University,Business Administration,"India,US"
